variavel,importancia
tipo_acidente_Colisão frontal,0.04815229299224517
condicao_metereologica_Céu Claro,0.03585506737345683
tipo_pista_Simples,0.03389523794434056
dia_semana_quinta-feira,0.02936336058467927
dia_semana_sábado,0.028566734665962212
condicao_metereologica_Nublado,0.028551816009491884
tracado_via_Reta,0.026969575904013283
tipo_acidente_Atropelamento de Pedestre,0.02675951232183104
dia_semana_quarta-feira,0.02653821087596921
dia_semana_domingo,0.026242016391788248
dia_semana_sexta-feira,0.025834002891417462
dia_semana_segunda-feira,0.025141903737642916
tracado_via_Declive;Reta,0.024650504252370174
fase_dia_Pleno dia,0.023996677065093945
condicao_metereologica_Chuva,0.02370723774866207
tipo_pista_Dupla,0.023314872790005915
fase_dia_Plena Noite,0.021808791782582347
tracado_via_Reta;Declive,0.021075433852200252
tracado_via_Curva,0.021005860573969064
dia_semana_terça-feira,0.020866492310700153
tracado_via_Reta;Aclive,0.019698465404270504
tipo_acidente_Colisão traseira,0.01747578279396261
condicao_metereologica_Garoa/Chuvisco,0.01731318296320534
tracado_via_Curva;Declive,0.017147966098234206
tipo_acidente_Saída de leito carroçável,0.015596413468338788
tipo_acidente_Colisão com objeto,0.014905432220886425
tipo_acidente_Tombamento,0.014055706806971435
fase_dia_Amanhecer,0.013839574168829997
tipo_acidente_Queda de ocupante de veículo,0.013714578432133168
condicao_metereologica_Nevoeiro/Neblina,0.013379771745354051
condicao_metereologica_Sol,0.012835365295825348
fase_dia_Anoitecer,0.012804156630195827
tipo_acidente_Colisão transversal,0.012756295021700639
tracado_via_Aclive;Reta,0.011749378470452206
tracado_via_Declive;Curva,0.011366223480667143
tipo_acidente_Capotamento,0.011203093181303045
tipo_acidente_Colisão lateral mesmo sentido,0.011124856216678716
tracado_via_Declive,0.010478389995465139
tipo_acidente_Colisão lateral sentido oposto,0.00979910729647184
tipo_pista_Múltipla,0.00908083415777677
tracado_via_Curva;Aclive,0.008310195968650751
tracado_via_Aclive,0.00768587338051675
tipo_acidente_Derramamento de carga,0.007378455895672883
tracado_via_Interseção de Vias,0.007350357436005714
tipo_acidente_Engavetamento,0.006835772366664651
condicao_metereologica_Ignorado,0.006780553622723661
tracado_via_Aclive;Curva,0.006716211392439687
tracado_via_Reta;Ponte,0.006697852827459106
tracado_via_Reta;Interseção de Vias,0.006595397134871583
tipo_acidente_Incêndio,0.006456642335291973
tracado_via_Reta;Em Obras,0.005766798291810518
tracado_via_Retorno Regulamentado;Reta,0.004688871617764473
tracado_via_Interseção de Vias;Curva;Aclive,0.004679536116964763
tracado_via_Interseção de Vias;Reta,0.004529129413118937
tracado_via_Em Obras;Reta,0.0039016920669997374
tracado_via_Ponte;Reta,0.003883771534572699
tracado_via_Curva;Em Obras;Declive,0.0036588142515649683
tracado_via_Rotatória,0.0034962553418380494
tracado_via_Reta;Em Obras;Ponte;Declive;Desvio Temporário,0.003438692519961816
tracado_via_Reta;Desvio Temporário;Em Obras,0.003432607186882532
tracado_via_Curva;Em Obras,0.002974647062234845
tipo_acidente_Eventos atípicos,0.002896458476862499
tipo_acidente_Atropelamento de Animal,0.0026737271716080996
tracado_via_Reta;Retorno Regulamentado,0.0025187999192401323
tracado_via_Curva;Declive;Em Obras,0.002320628902939286
tracado_via_Curva;Desvio Temporário,0.002229533408855378
tracado_via_Ponte,0.002219499721627232
tracado_via_Interseção de Vias;Curva,0.0022170761179048214
tracado_via_Rotatória;Reta,0.0020565353342332456
tracado_via_Curva;Declive;Ponte,0.0020292664325135177
tracado_via_Reta;Rotatória,0.001966308650317694
tracado_via_Retorno Regulamentado,0.0018014193340151852
tracado_via_Reta;Em Obras;Ponte,0.001742627112692275
tracado_via_Reta;Interseção de Vias;Aclive,0.00170936892911337
tracado_via_Reta;Viaduto,0.0016506254260130859
tracado_via_Curva;Interseção de Vias,0.0014538232565791981
tracado_via_Em Obras,0.0010927360370967783
tracado_via_Viaduto,0.0010737371754981964
tracado_via_Reta;Em Obras;Aclive;Desvio Temporário,0.0010443969601822399
tracado_via_Interseção de Vias;Reta;Retorno Regulamentado,0.0009861580196435927
tracado_via_Reta;Em Obras;Aclive;Interseção de Vias,0.0009061117761184643
tracado_via_Em Obras;Declive;Reta,0.0008890094125272685
tracado_via_Reta;Em Obras;Declive,0.0008883496993712036
tracado_via_Curva;Retorno Regulamentado,0.0008804300042949785
tracado_via_Reta;Declive;Interseção de Vias,0.000807167890649519
tracado_via_Interseção de Vias;Aclive,0.000798961484260567
tracado_via_Em Obras;Ponte;Reta,0.0007096181819007284
tracado_via_Reta;Aclive;Em Obras,0.0006992512018255296
tracado_via_Em Obras;Reta;Desvio Temporário,0.0006958235704602501
tracado_via_Aclive;Reta;Em Obras,0.0006828340411126663
tracado_via_Aclive;Interseção de Vias,0.0006120601286771286
tracado_via_Reta;Em Obras;Aclive,0.0006082452613639131
tracado_via_Interseção de Vias;Aclive;Reta,0.0006023829790262773
tracado_via_Declive;Interseção de Vias;Reta,0.0005479966680104614
tracado_via_Ponte;Reta;Declive,0.0005458282555912767
tracado_via_Reta;Declive;Túnel,0.0005257058610040836
tracado_via_Reta;Interseção de Vias;Retorno Regulamentado,0.0005256505056059096
tracado_via_Reta;Declive;Ponte,0.0005014375420082387
tracado_via_Curva;Retorno Regulamentado;Aclive,0.0004911326965226199
tracado_via_Viaduto;Reta,0.0004539190954918792
condicao_metereologica_Vento,0.000450945463889476
tracado_via_Curva;Viaduto;Aclive,0.0004444519676281607
tracado_via_Desvio Temporário,0.0004330943203344453
tracado_via_Aclive;Reta;Interseção de Vias,0.0004289155108685251
tracado_via_Declive;Em Obras;Curva,0.0004090759231921813
tracado_via_Reta;Declive;Em Obras,0.00040062376463881956
tracado_via_Reta;Retorno Regulamentado;Interseção de Vias;Viaduto;Em Obras,0.000400373242219679
tracado_via_Rotatória;Reta;Interseção de Vias,0.00039491900478328784
tracado_via_Aclive;Reta;Retorno Regulamentado,0.00038101353840818596
tracado_via_Reta;Interseção de Vias;Rotatória,0.0003765901854867345
tracado_via_Reta;Rotatória;Interseção de Vias,0.00037541153292052176
tracado_via_Curva;Viaduto,0.00035683911157217133
tracado_via_Em Obras;Reta;Declive,0.00034669987232470515
tracado_via_Em Obras;Reta;Aclive,0.0003384081077553629
tracado_via_Curva;Interseção de Vias;Ponte,0.0003341727187056391
tracado_via_Ponte;Curva,0.00032782904992551334
tracado_via_Interseção de Vias;Curva;Declive,0.0003276312117215388
tracado_via_Rotatória;Interseção de Vias;Reta,0.0003107988608491234
tracado_via_Declive;Em Obras;Reta,0.000304726332025791
tracado_via_Interseção de Vias;Rotatória,0.00030176338752478156
tracado_via_Retorno Regulamentado;Interseção de Vias,0.0002916932353156296
tracado_via_Reta;Ponte;Em Obras,0.0002889999439267082
tracado_via_Aclive;Em Obras,0.00028313257338090646
tracado_via_Reta;Interseção de Vias;Declive,0.000279894472507591
tracado_via_Rotatória;Curva,0.00027664434372090996
tracado_via_Declive;Reta;Interseção de Vias,0.0002735906044370918
tracado_via_Interseção de Vias;Rotatória;Reta,0.0002686098464163556
tracado_via_Curva;Interseção de Vias;Declive,0.0002636596898536349
tracado_via_Curva;Rotatória,0.0002603572620183481
tracado_via_Em Obras;Curva,0.00025943675944575063
tracado_via_Interseção de Vias;Retorno Regulamentado;Reta,0.0002483129625195554
tracado_via_Desvio Temporário;Em Obras,0.00024636531052709575
tracado_via_Reta;Em Obras;Desvio Temporário,0.0002379591638425135
tracado_via_Declive;Interseção de Vias,0.0002081391038126555
tracado_via_Curva;Declive;Viaduto,0.00020222299769484046
tracado_via_Declive;Curva;Interseção de Vias,0.00019539030818902238
tracado_via_Curva;Ponte,0.000195192571919239
tracado_via_Declive;Em Obras,0.0001919791715477798
tracado_via_Declive;Reta;Ponte,0.00018511007243934296
tracado_via_Retorno Regulamentado;Reta;Interseção de Vias,0.00018292538135689603
tracado_via_Reta;Retorno Regulamentado;Interseção de Vias,0.00018035163615549816
tracado_via_Viaduto;Aclive;Reta,0.0001784274072197052
tracado_via_Viaduto;Curva,0.00017649874108813916
tracado_via_Interseção de Vias;Viaduto,0.0001753857551868148
tracado_via_Declive;Reta;Em Obras,0.00017350197427493924
tracado_via_Declive;Em Obras;Reta;Desvio Temporário,0.00017068304910526185
tracado_via_Em Obras;Ponte,0.0001683496884768689
